engine,category,best_test,candidate_test,best_energy,candidate_energy,ratio_to_best
graaljs,access-char,charAt,baseline,92639289.0,93420018.5,1.0084276283683482
graaljs,access-char,charAt,charAt,92639289.0,92639289.0,1.0
graaljs,array-max,for,baseline,9697516.0,178271394.0,18.38320184261619
graaljs,array-max,for,for,9697516.0,9697516.0,1.0
graaljs,array-max,for,max-apply,9697516.0,17772629.5,1.832699167498151
graaljs,even-odd,bitwise,baseline,141782718.0,148349260.5,1.0463141248286691
graaljs,even-odd,bitwise,bitwise,141782718.0,141782718.0,1.0
graaljs,filter,baseline,baseline,117392461.0,117392461.0,1.0
graaljs,filter,baseline,for,117392461.0,202351655.0,1.723719336627588
graaljs,flatten-array,flat,baseline,3151969.0,114085370.5,36.19495321813127
graaljs,flatten-array,flat,flat,3151969.0,3151969.0,1.0
graaljs,flatten-array,flat,spread-concat,3151969.0,4854205.0,1.5400548038384896
graaljs,function,inline,arrow,146761770.0,153722415.0,1.0474281892348396
graaljs,function,inline,baseline,146761770.0,147404163.5,1.0043771174196114
graaljs,function,inline,inline,146761770.0,146761770.0,1.0
graaljs,json,hoist,baseline,4044850.5,150602336.5,37.23310330010961
graaljs,json,hoist,hoist,4044850.5,4044850.5,1.0
graaljs,lookup,map,baseline,16518176.0,100068592.0,6.058089706756969
graaljs,lookup,map,map,16518176.0,16518176.0,1.0
graaljs,loop-arr-length,hoist,baseline,106993989.0,108587612.5,1.014894514307715
graaljs,loop-arr-length,hoist,hoist,106993989.0,106993989.0,1.0
graaljs,loop-arr-length,hoist,inline,106993989.0,108600125.0,1.0150114601297835
graaljs,map-reduce,baseline,baseline,95563628.5,95563628.5,1.0
graaljs,map-reduce,baseline,for,95563628.5,116540809.0,1.2195100879828982
graaljs,math-floor,bitwise-or,baseline,141452519.0,142126192.0,1.0047625380216807
graaljs,math-floor,bitwise-or,bitwise-or,141452519.0,141452519.0,1.0
graaljs,math-floor,bitwise-or,double-not,141452519.0,141511265.0,1.0004153054354585
graaljs,math-floor,bitwise-or,parseInt,141452519.0,141971835.0,1.0036713096639869
graaljs,nested-lookup,map,baseline,7326244.5,101871993.0,13.90507687806488
graaljs,nested-lookup,map,map,7326244.5,7326244.5,1.0
graaljs,number-to-string,implicit,baseline,109544916.5,109655877.5,1.0010129269668118
graaljs,number-to-string,implicit,implicit,109544916.5,109544916.5,1.0
graaljs,number-to-string,implicit,string,109544916.5,109900170.5,1.0032429985009848
graaljs,number-to-string,implicit,toString,109544916.5,169695091.5,1.5490914313673332
graaljs,object-iteration,baseline,baseline,107286529.5,107286529.5,1.0
graaljs,object-iteration,baseline,for-in,107286529.5,163083444.5,1.520073817841223
graaljs,object-merging,baseline,baseline,159923937.5,159923937.5,1.0
graaljs,object-merging,baseline,spread,159923937.5,307353552.5,1.92187334369503
graaljs,object-shape,defined,baseline,67479716.0,105494725.0,1.5633546086649208
graaljs,object-shape,defined,defined,67479716.0,67479716.0,1.0
graaljs,polymorphic,split,baseline,95010194.0,114961101.0,1.2099870146565537
graaljs,polymorphic,split,split,95010194.0,95010194.0,1.0
graaljs,prototype,baseline,baseline,184536942.5,184536942.5,1.0
graaljs,prototype,baseline,function,184536942.5,187353585.5,1.0152633015473311
graaljs,regex,hoist,baseline,162310406.5,182515829.0,1.1244863033474073
graaljs,regex,hoist,hoist,162310406.5,162310406.5,1.0
graaljs,regex,hoist,inline,162310406.5,166038241.0,1.0229673166396758
graaljs,replace-loop,replace-regex,baseline,50936271.0,170310843.5,3.343606435186431
graaljs,replace-loop,replace-regex,replace-regex,50936271.0,50936271.0,1.0
graaljs,replace-loop,replace-regex,replaceAll,50936271.0,51740651.5,1.0157919000391686
graaljs,replace-loop,replace-regex,replaceAll-regex,50936271.0,54230757.5,1.064678596122594
