category,test,engine,N,sample,energy_uj,time_s,mem_kb
access-char,baseline,v8,1024,1,388488,0.0204838,28800
access-char,baseline,v8,1024,2,405456,0.0202289,28544
access-char,baseline,v8,1024,3,386290,0.0206003,28544
access-char,baseline,v8,1024,4,396667,0.0200686,28416
access-char,baseline,v8,1024,5,393004,0.0202918,28544
access-char,baseline,v8,1024,6,395018,0.0203822,28672
access-char,baseline,v8,1024,7,415038,0.0203126,28672
access-char,baseline,v8,1024,8,395690,0.0199227,28544
access-char,baseline,v8,1024,9,394896,0.0199567,28928
access-char,baseline,v8,1024,10,390136,0.0202877,28160
access-char,baseline,v8,2048,1,412535,0.0208113,30848
access-char,baseline,v8,2048,2,387511,0.0204628,30720
access-char,baseline,v8,2048,3,387390,0.020553,31104
access-char,baseline,v8,2048,4,387877,0.0207276,30848
access-char,baseline,v8,2048,5,388488,0.0204593,30976
access-char,baseline,v8,2048,6,407165,0.0206333,31360
access-char,baseline,v8,2048,7,410399,0.020586,30976
access-char,baseline,v8,2048,8,395812,0.0206203,30976
access-char,baseline,v8,2048,9,391173,0.020663,30976
access-char,baseline,v8,2048,10,393065,0.020681,30720
access-char,baseline,v8,4096,1,408385,0.0208292,30976
access-char,baseline,v8,4096,2,405029,0.0207616,31104
access-char,baseline,v8,4096,3,409178,0.0208008,30976
access-char,baseline,v8,4096,4,409789,0.021026,31104
access-char,baseline,v8,4096,5,411743,0.020897,31360
access-char,baseline,v8,4096,6,421141,0.0211446,31104
access-char,baseline,v8,4096,7,412718,0.0207657,30848
access-char,baseline,v8,4096,8,396605,0.0207058,30976
access-char,baseline,v8,4096,9,390929,0.0206605,31232
access-char,baseline,v8,4096,10,392638,0.0207892,31104
access-char,baseline,v8,8192,1,414367,0.020841,31360
access-char,baseline,v8,8192,2,417662,0.0207045,31232
access-char,baseline,v8,8192,3,412475,0.0207142,31360
access-char,baseline,v8,8192,4,408141,0.0205437,31232
access-char,baseline,v8,8192,5,413085,0.0207434,31616
access-char,baseline,v8,8192,6,408324,0.0208502,31360
access-char,baseline,v8,8192,7,415709,0.0208202,31360
access-char,baseline,v8,8192,8,408751,0.0206804,31104
access-char,baseline,v8,8192,9,412353,0.0206211,31360
access-char,baseline,v8,8192,10,418395,0.020734,31232
access-char,baseline,v8,16384,1,412109,0.0209876,31872
access-char,baseline,v8,16384,2,417357,0.0210604,31872
access-char,baseline,v8,16384,3,415343,0.020939,31872
access-char,baseline,v8,16384,4,415282,0.0213404,32000
access-char,baseline,v8,16384,5,395019,0.020833,32000
access-char,baseline,v8,16384,6,410400,0.0208054,32000
access-char,baseline,v8,16384,7,415283,0.0211712,32000
access-char,baseline,v8,16384,8,417114,0.0208855,31872
access-char,baseline,v8,16384,9,414244,0.0210084,32256
access-char,baseline,v8,16384,10,412780,0.0211246,32128
access-char,baseline,v8,32768,1,427306,0.021258,32768
access-char,baseline,v8,32768,2,420287,0.0212534,32512
access-char,baseline,v8,32768,3,433653,0.0213458,32640
access-char,baseline,v8,32768,4,411132,0.0212598,32768
access-char,baseline,v8,32768,5,429076,0.0213299,32896
access-char,baseline,v8,32768,6,414306,0.0212027,32512
access-char,baseline,v8,32768,7,437377,0.0211653,32640
access-char,baseline,v8,32768,8,406676,0.0213007,32896
access-char,baseline,v8,32768,9,413512,0.0211082,32512
access-char,baseline,v8,32768,10,417174,0.0211092,32896
access-char,baseline,v8,65536,1,437987,0.0217836,33408
access-char,baseline,v8,65536,2,422423,0.0214966,32768
access-char,baseline,v8,65536,3,438659,0.0214451,33152
access-char,baseline,v8,65536,4,413207,0.0212393,32768
access-char,baseline,v8,65536,5,466124,0.0216067,32896
access-char,baseline,v8,65536,6,443175,0.0215616,33152
access-char,baseline,v8,65536,7,434875,0.0215956,33024
access-char,baseline,v8,65536,8,434447,0.0215939,33152
access-char,baseline,v8,65536,9,434630,0.0218312,33280
access-char,baseline,v8,65536,10,423949,0.02141,32768
access-char,baseline,v8,131072,1,437499,0.0222661,34944
access-char,baseline,v8,131072,2,462523,0.0224315,35456
access-char,baseline,v8,131072,3,442321,0.0222469,34304
