case,engine,category,candidate_test,best_energy,candidate_energy,slowdown
jsc | replace-loop | replaceAll,jsc,replace-loop,replaceAll,1939448.0,3977969827.5,2051.0835183516133
jsc | replace-loop | split-join,jsc,replace-loop,split-join,1939448.0,1954094088.0,1007.5516786219584
jsc | regex | hoist,jsc,regex,hoist,48905087.5,19545997081.5,399.6720603250122
xs | regex | baseline,xs,regex,baseline,4529010.5,95887572.0,21.17185906281295
qjs | flatten-array | baseline,qjs,flatten-array,baseline,3753957.5,1019328750.5,271.534440786823
xs | flatten-array | baseline,xs,flatten-array,baseline,5889267.0,843781622.5,143.27447244283542
jsc | prototype | baseline,jsc,prototype,baseline,1357235.0,158134178.0,116.51201007931567
sm | prototype | baseline,sm,prototype,baseline,5787858.0,159868639.5,27.621382469991488
xs | replace-size | baseline,xs,replace-size,baseline,711546.0,72295194.5,101.60298069274509
qjs | replace-size | replaceAll-regex,qjs,replace-size,replaceAll-regex,21887792.0,190918884.0,8.722619622847294
hermes | nested-lookup | baseline,hermes,nested-lookup,baseline,1851985.0,175192910.5,94.59737011908844
xs | nested-lookup | baseline,xs,nested-lookup,baseline,2012843.0,178553284.5,88.70701018410278
hermes | math-floor | parseInt,hermes,math-floor,parseInt,37058956.5,2632246801.0,71.02862707426746
xs | math-floor | parseInt,xs,math-floor,parseInt,77343674.0,770211193.5,9.958295923464924
jsc | json | baseline,jsc,json,baseline,2078425.0,102880779.5,49.49939473399329
graaljs | json | baseline,graaljs,json,baseline,4044850.5,150602336.5,37.23310330010961
jsc | lookup | baseline,jsc,lookup,baseline,4772937.5,150663371.5,31.566173137611795
xs | lookup | baseline,xs,lookup,baseline,9948704.5,150410229.0,15.118574383227484
v8 | map-reduce | baseline,v8,map-reduce,baseline,3149894.0,98160210.0,31.163020088929976
sm | map-reduce | baseline,sm,map-reduce,baseline,27394217.0,174718394.5,6.377929856509496
qjs | string-from-array | literal,qjs,string-from-array,literal,8842202.0,204792627.5,23.160817576888654
jsc | string-from-array | join,jsc,string-from-array,join,185658002.5,3627601981.0,19.539163042541084
graaljs | array-max | baseline,graaljs,array-max,baseline,9697516.0,178271394.0,18.38320184261619
jsc | array-max | baseline,jsc,array-max,baseline,12807828.5,187196481.0,14.615786040545437
v8 | sum-array | baseline,v8,sum-array,baseline,13089444.0,69282873.0,5.293034066229246
jsc | sum-array | baseline,jsc,sum-array,baseline,69604344.5,89448074.5,1.2850932674180993
xs | function | baseline,xs,function,baseline,36977627.5,140860113.5,3.8093334543975272
hermes | function | baseline,hermes,function,baseline,45479284.5,159677661.5,3.510997660924063
hermes | even-odd | baseline,hermes,even-odd,baseline,45029700.5,151116831.0,3.3559368443945123
jsc | even-odd | baseline,jsc,even-odd,baseline,69920963.5,91417643.0,1.307442552618715
hermes | object-shape | baseline,hermes,object-shape,baseline,39340384.0,131511748.5,3.3429197971224682
sm | object-shape | baseline,sm,object-shape,baseline,52209034.0,115864266.5,2.2192378908983454
hermes | number-to-string | baseline,hermes,number-to-string,baseline,33927525.0,106300631.0,3.133167862966721
hermes | number-to-string | toString,hermes,number-to-string,toString,33927525.0,73090297.5,2.15430679072523
v8 | substring | baseline,v8,substring,baseline,35622498.0,101322494.5,2.84433995897761
v8 | substring | substr,v8,substring,substr,35622498.0,99833301.5,2.802535114185423
v8 | object-iteration | baseline,v8,object-iteration,baseline,33905583.5,94031315.0,2.7733283221626315
qjs | object-iteration | for-in,qjs,object-iteration,for-in,143971799.5,369830169.0,2.5687681218431946
hermes | object-merging | baseline,hermes,object-merging,baseline,48117339.5,114824810.0,2.386349935245277
graaljs | object-merging | spread,graaljs,object-merging,spread,159923937.5,307353552.5,1.92187334369503
jsc | loop-arr-length | hoist,jsc,loop-arr-length,hoist,142154177.0,248085119.0,1.7451834637261485
v8 | loop-arr-length | hoist,v8,loop-arr-length,hoist,60557767.5,88166400.5,1.455905726709625
hermes | filter | for,hermes,filter,for,167690855.5,289611502.5,1.7270560260216454
graaljs | filter | for,graaljs,filter,for,117392461.0,202351655.0,1.723719336627588
hermes | access-char | charAt,hermes,access-char,charAt,164052833.0,270691232.0,1.650024733190679
jsc | access-char | charAt,jsc,access-char,charAt,95692840.0,146565878.5,1.5316284739798713
hermes | polymorphic | split,hermes,polymorphic,split,183522602.0,281561748.5,1.5342074787060833
xs | polymorphic | baseline,xs,polymorphic,baseline,96979121.5,124961350.0,1.2885386881958918
sm | search-string | indexOf,sm,search-string,indexOf,108238919.5,131940000.5,1.2189700443194096
xs | search-string | indexOf,xs,search-string,indexOf,145703240.5,155762907.0,1.0690421603903861
